"Student Number","Score","Subject","High School","Graduating cohort year","AP Status","FRPL status","Ethnicity","Gender","Teacher Name"
303000105,4,"Biology","UDC-HS",2022,"Pass","P","Black","F","Smith"
301001086,4,"Biology","UDC-HS",2022,"Pass","FDC","Black","F","Smith"
306001140,2,"Biology","UDC-HS",2022,"Fail","F","Black","F","Smith"
303000119,2,"Biology","UDC-HS",2022,"Fail","R","Black","F","Smith"
303000023,4,"Biology","UDC-HS",2022,"Pass","F","Hispanic","F","Smith"
301001329,3,"Biology","UDC-HS",2022,"Pass","P","Black","F","Smith"
301001089,1,"Biology","UDC-HS",2022,"Fail","F","Black","F","Smith"
301001093,2,"Biology","UDC-HS",2022,"Fail","F","Black","F","Smith"
303000132,3,"Biology","UDC-HS",2022,"Pass","F","Hispanic","M","Smith"
142021427,3,"Biology","UDC-HS",2022,"Pass","P","Black","F","Smith"
301001053,2,"Biology","UDC-HS",2022,"Fail","F","Black","F","Smith"
401000071,2,"Biology","UDC-HS",2022,"Fail","P","Asian","M","Smith"
301001371,2,"Biology","UDC-HS",2022,"Fail","R","Black","F","Smith"
301001066,2,"Biology","UDC-HS",2022,"Fail","P","Black","F","Smith"
301001067,4,"Biology","UDC-HS",2022,"Pass","F","Black","M","Smith"
301001068,4,"Biology","UDC-HS",2022,"Pass","F","Black","M","Smith"
401000072,2,"Biology","UDC-HS",2022,"Fail","FDC","Hispanic","F","Smith"
303000151,3,"Biology","UDC-HS",2022,"Pass","FDC","Hispanic","F","Smith"
301001309,3,"Biology","UDC-HS",2022,"Pass","FDC","Black","F","Smith"
303000108,2,"Biology","UDC-HS",2022,"Fail","FDC","Black","F","Smith"
301001140,2,"Biology","UDC-HS",2022,"Fail","FDC","Black","F","Smith"
301001155,1,"Biology","UDC-HS",2022,"Fail","P","Black","M","Smith"
301200011,2,"Biology","UDC-HS",2022,"Fail","FDC","Black","F","Smith"
205004575,3,"Biology","REH",2023,"Pass","F","Black","M","Morgan"
214848822,3,"Biology","REH",2023,"Pass","F","Black","F","Morgan"
203694971,5,"Biology","REH",2023,"Pass","P","Hispanic","M","Morgan"
203694989,4,"Biology","REH",2023,"Pass","P","Hispanic","M","Morgan"
208208967,3,"Biology","REH",2023,"Pass","F","Black","F","Morgan"
274765734,2,"Biology","REH",2023,"Fail","F","Black","M","Morgan"
204772024,3,"Biology","REH",2023,"Pass","F","Black","M","Morgan"
207903279,2,"Biology","REH",2023,"Fail","F","Black","M","Morgan"
205808363,3,"Biology","REH",2023,"Pass","F","Black","M","Morgan"
206165508,2,"Biology","REH",2023,"Fail","R","Black","F","Morgan"
203061916,4,"Biology","REH",2023,"Pass","F","Black","M","Morgan"
205041064,3,"Biology","REH",2023,"Pass","F","Black","F","Morgan"
204287536,2,"Biology","REH",2023,"Fail","F","Black","M","Morgan"
206737116,3,"Biology","REH",2023,"Pass","F","Black","F","Morgan"
219344512,2,"Biology","NDHS",2023,"Fail","F","Hispanic","F","Slaughter"
225942358,2,"Biology","NDHS",2023,"Fail","P","Black","F","Slaughter"
203372628,2,"Biology","NDHS",2023,"Fail","FDC","Black","F","Slaughter"
219263258,2,"Biology","NDHS",2023,"Fail","F","Black","F","Slaughter"
204964423,2,"Biology","NDHS",2023,"Fail","R","Black","M","Slaughter"
206404378,4,"Biology","NDHS",2023,"Pass","R","Black","F","Slaughter"
203923982,2,"Biology","NDHS",2023,"Fail","FDC","Black","M","Slaughter"
204811632,2,"Biology","NDHS",2023,"Fail","P","Black","F","Slaughter"
219498292,2,"Biology","NDHS",2023,"Fail","FDC","Black","F","Slaughter"
203871470,3,"Biology","NDHS",2023,"Pass","F","Black","F","Slaughter"
204148613,2,"Biology","NDHS",2023,"Fail","P","Black","M","Slaughter"
209778539,3,"Biology","NDHS",2023,"Pass","P","Black","F","Slaughter"
219498318,3,"Biology","NDHS",2023,"Pass","F","Black","F","Slaughter"
205214851,2,"Biology","NDHS",2023,"Fail","F","Black","M","Slaughter"
274858554,2,"Biology","NDHS",2023,"Fail","F","Black","F","Slaughter"
204737043,2,"Biology","NDHS",2023,"Fail","F","Black","M","Slaughter"
204453609,3,"Biology","NDHS",2023,"Pass","FDC","Black","M","Slaughter"
205192396,3,"Biology","NDHS",2023,"Pass","F","Black","M","Slaughter"
204303044,2,"Biology","NDHS",2023,"Fail","FDC","Hispanic","M","Slaughter"
207323221,3,"Biology","NDHS",2023,"Pass","FDC","Hispanic","F","Slaughter"
203252622,2,"Biology","NDHS",2023,"Fail","R","Hispanic","F","Slaughter"
206025421,3,"Biology","NDHS",2023,"Pass","F","Hispanic","F","Slaughter"
201827722,3,"Biology","NDHS",2023,"Pass","F","Black","F","Slaughter"
205192131,2,"Biology","NDHS",2023,"Fail","R","Black","M","Slaughter"
401000104,1,"Calc AB","UDC-HS",2022,"Fail","R","Black","F","Ramirez"
303000110,1,"Calc AB","UDC-HS",2022,"Fail","FDC","Black","F","Ramirez"
301001044,1,"Calc AB","UDC-HS",2022,"Fail","FDC","Hispanic","F","Ramirez"
